Rating,Title,Equipment,New Desc,Level,BodyPart,Type
0 1\ -\ 5.45 5.45\ -\ 7.35 7.35\ -\ 7.95 7.95\ -\ 8.25 8.25\ -\ 8.45 8.45\ -\ 8.65 8.65\ -\ 8.85 8.85\ -\ 9.05 10,string,Bands Barbell Body\ Only Cable Dumbbell E-Z\ Curl\ Bar Exercise\ Ball Foam\ Roll Kettlebells Machine Medicine\ Ball None Other,string,Beginner Expert Intermediate,Abdominals Abductors Adductors Biceps Calves Chest Forearms Glutes Hamstrings Lats Lower\ Back Middle\ Back Neck Quadriceps Shoulders Traps Triceps,Cardio Olympic\ Weightlifting Plyometrics Powerlifting Strength Stretching Strongman
class,meta,meta,meta,,,
0,Partner plank band row,Bands,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Intermediate,Abdominals,Strength
5.45 - 7.35,Banded crunch isometric hold,Bands,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Intermediate,Abdominals,Strength
8.25 - 8.45,FYR Banded Plank Jack,Bands,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Intermediate,Abdominals,Strength
0,Banded crunch,Bands,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Intermediate,Abdominals,Strength
8.65 - 8.85,Crunch,Bands,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Intermediate,Abdominals,Strength
8.85 - 9.05,Decline band press sit-up,Bands,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Intermediate,Abdominals,Strength
8.45 - 8.65,FYR2 Banded Frog Pump,Bands,None,Intermediate,Abdominals,Strength
8.25 - 8.45,Band low-to-high twist,Bands,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Intermediate,Abdominals,Strength
8.85 - 9.05,Barbell roll-out,Barbell,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Intermediate,Abdominals,Strength
8.85 - 9.05,Barbell Ab Rollout - On Knees,Barbell,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Intermediate,Abdominals,Strength
8.45 - 8.65,Decline bar press sit-up,Barbell,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Intermediate,Abdominals,Strength
8.25 - 8.45,Bench barbell roll-out,Barbell,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Beginner,Abdominals,Strength
5.45 - 7.35,Barbell Side Bend,Barbell,None,Beginner,Abdominals,Strength
1 - 5.45,Seated bar twist,Barbell,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Intermediate,Abdominals,Strength
5.45 - 7.35,Single-arm landmine pull and press,Barbell,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Intermediate,Abdominals,Strength
8.45 - 8.65,Barbell Ab Roll Out - Gethin Variation,Barbell,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Intermediate,Abdominals,Strength
7.95 - 8.25,30 Barbell Floor Wiper,Barbell,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.",Intermediate,Abdominals,Strength
0,30 Barbell Roll-Out,Barbell,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Intermediate,Abdominals,Strength
